آ	اس	رم	1.000000
آخرین	بار	در	0.466667
آخرین	باری	که	0.800000
آخرین	بازی	خود	0.333333
آخرین	برنامه	از	0.750000
آخرین	تمرین	خود	0.428571
آخرین	جمعه	ماه	0.750000
آخرین	ماه	سال	0.600000
آخرین	وضعیت	پرونده	0.073171
آخرین	وضعیت	مناطق	0.073171
آخرین	وضعیت	پروژه	0.073171
آر	پی	جی	1.000000
آرامش	در	منطقه	0.230769
آرامش	را	از	0.272727
آرامش	را	به	0.272727
آرامش	و	امنیت	0.440000
آزاد	است	که	0.333333
آزاد	است	و	0.333333
آزاد	خواهد	شد	0.800000
آزاد	خواهند	شد	1.000000
آزاد	در	بازار	0.214286
آزاد	شد	و	0.714286
آزاد	شدند	و	0.750000
آزاد	شده	است	0.200000
آزاد	شده	و	0.120000
آزاد	کرده	است	0.428571
آزمون	به	صورت	0.363636
آزمون	و	خطا	0.400000
آسیب	جدی	به	0.333333
آسیب	جدی	وارد	0.250000
آسیب	در	امان	0.750000
آسیب	دیده	و	0.171429
آسیب	دیده	است	0.171429
آسیب	دیده	از	0.085714
آسیب	رسیدن	به	1.000000
آسیب	زده	است	0.833333
آسیب	شناسی	و	0.428571
آسیب	های	اجتماعی	0.538462
آسیب	های	جدی	0.384615
آسیب	وارد	کند	0.250000
آشکار	شده	است	0.750000
آشکار	می	شود	0.750000
آشکار	و	پنهان	0.500000
آغاز	به	کار	0.977273
آغاز	جنگ	در	0.272727
آغاز	جنگ	میان	0.136364
آغاز	حمله	زمینی	0.500000
آغاز	خواهد	شد	0.744681
آغاز	خواهد	کرد	0.255319
آغاز	خواهند	کرد	1.000000
آغاز	سال	جدید	0.444444
آغاز	شد	و	0.539216
آغاز	شد	که	0.166667
آغاز	شد	تا	0.078431
آغاز	شد	اما	0.039216
آغاز	شد	به	0.029412
آغاز	شده	است	0.493333
آغاز	شده	و	0.320000
آغاز	شده	بود	0.060000
آغاز	شده	که	0.020000
آغاز	شده	اما	0.020000
آغاز	شود	و	0.400000
آغاز	عملیات	طوفان	0.586207
آغاز	عملیات	نظامی	0.206897
آغاز	ماه	مبارک	1.000000
آغاز	می	شود	0.684211
آغاز	میکند	که	1.000000
آغاز	و	تا	0.290323
آغاز	و	در	0.129032
آغاز	کرد	و	0.457143
آغاز	کرد	که	0.142857
آغاز	کرد	اما	0.085714
آغاز	کردم	و	0.750000
آغاز	کردند	و	0.692308
آغاز	کرده	است	0.550000
آغاز	کرده	و	0.216667
آغاز	کرده	بود	0.083333
آغاز	کردیم	و	0.714286
آلمان	اعلام	کرد	0.571429
آلمان	در	ادامه	0.266667
آلمان	در	حال	0.200000
آلمان	و	فرانسه	0.230769
آلمان	پس	از	1.000000
آمبولانس	به	بیمارستان	0.500000
آمبولانس	به	محل	0.375000
آمده	است	که	0.338710
آمده	است	در	0.059140
آمده	است	از	0.053763
آمده	است	و	0.037634
آمده	است	این	0.032258
آمده	است	با	0.032258
آمده	است	ما	0.032258
