automobila	te	da	0.750000
baš	i	nije	0.571429
baš	kao	i	0.600000
baš	kao	što	0.250000
baš	u	vrijeme	0.428571
bile	su	u	0.065789
bile	su	pod	0.052632
bile	su	i	0.052632
bile	su	iznimno	0.039474
bile	takve	da	1.000000
bili	na	vrhu	0.142857
bili	povezani	s	0.750000
bili	poznati	po	0.444444
bili	su	u	0.070175
bili	su	poznati	0.035088
bili	su	i	0.035088
bili	su	to	0.029240
bili	su	vrlo	0.029240
bili	su	povezani	0.017544
bili	su	iz	0.017544
bili	su	po	0.017544
bili	su	prvi	0.017544
bili	su	glavni	0.017544
bili	su	samo	0.017544
bili	su	za	0.017544
bili	ti	koji	1.000000
bili	u	stanju	0.173913
bili	u	mogućnosti	0.130435
bilo	da	je	0.363636
bilo	da	se	0.272727
bilo	daleko	od	1.000000
bilo	dovoljno	za	0.458333
bilo	dovoljno	da	0.250000
bilo	ih	je	1.000000
bilo	im	je	1.000000
bilo	je	to	0.122807
bilo	je	i	0.092105
bilo	je	u	0.087719
bilo	je	potrebno	0.052632
bilo	je	mnogo	0.035088
bilo	je	više	0.030702
bilo	je	nekoliko	0.017544
bilo	je	teško	0.017544
bilo	je	na	0.017544
bilo	je	oko	0.017544
bilo	je	vrlo	0.013158
bilo	je	samo	0.013158
bilo	je	djece	0.013158
bilo	kakvu	vrstu	0.428571
bilo	koja	dva	0.500000
bilo	koje	druge	0.310345
bilo	koje	doba	0.103448
bilo	kojeg	drugog	0.500000
bilo	kojem	trenutku	0.235294
bilo	koji	drugi	0.240000
bilo	koji	način	0.160000
bilo	kojim	drugim	1.000000
bilo	koju	od	0.400000
bilo	mu	je	1.000000
bilo	prvi	puta	0.800000
bilo	uobičajeno	za	0.571429
bilo	više	od	0.416667
bilo	više	nego	0.333333
bio	da	se	0.500000
bio	glavni	grad	0.200000
bio	i	predsjednik	0.063830
bio	i	prvi	0.063830
bio	im	je	1.000000
bio	je	i	0.065557
bio	je	to	0.058273
bio	je	član	0.050989
bio	je	u	0.044745
bio	je	prvi	0.038502
bio	je	jedan	0.037461
bio	je	na	0.027055
bio	je	vrlo	0.016649
bio	je	poznat	0.016649
bio	je	predsjednik	0.016649
bio	je	sin	0.014568
bio	je	da	0.014568
bio	je	drugi	0.011446
bio	je	glavni	0.009365
bio	je	također	0.009365
bio	je	veliki	0.009365
bio	je	profesor	0.008325
bio	je	njegov	0.008325
bio	je	od	0.007284
bio	je	dio	0.006243
bio	je	dobar	0.006243
bio	je	među	0.006243
bio	je	velik	0.006243
bio	je	veoma	0.006243
bio	je	vođa	0.006243
bio	je	jedini	0.006243
bio	je	samo	0.005203
bio	je	zadužen	0.005203
bio	je	najbolji	0.005203
bio	je	oženjen	0.005203
bio	jedan	od	0.957447
bio	jedna	od	1.000000
bio	kada	je	1.000000
bio	ljut	na	0.750000
bio	mu	je	1.000000
bio	na	čelu	0.090909
bio	na	mjestu	0.090909
bio	najbolji	strijelac	0.333333
bio	odgovoran	za	0.500000
bio	oženjen	s	0.800000
bio	potreban	da	0.600000
bio	poznat	po	0.361111
bio	poznat	kao	0.305556
bio	poznat	pod	0.111111
bio	poznat	u	0.083333
bio	pozvan	da	0.600000
bio	prvi	koji	0.113636
bio	prvi	od	0.068182
bio	prvi	put	0.068182
bio	slučaj	sa	0.300000
bio	slučaj	s	0.300000
bio	svjestan	da	1.000000
bio	taj	koji	0.666667
bio	u	mogućnosti	0.112500
bio	u	stanju	0.087500
bio	u	zatvoru	0.075000
bio	u	braku	0.050000
bio	u	vojsci	0.037500
bio	uključen	u	1.000000
bio	vrlo	uspješan	0.277778
bio	zabrinut	da	0.600000
bio	zaljubljen	u	1.000000
bio	što	je	0.500000
black	metal	scene	0.375000
boje	dok	je	0.666667
boje	i	ima	0.214286
boje	kao	i	0.600000
boje	kluba	su	1.000000
boje	koja	se	0.800000
bolesti	kao	što	0.600000
bolje	da	se	0.600000
borili	su	se	1.000000
boriti	se	protiv	0.500000
brak	je	bio	0.600000
braća	i	sestre	0.833333
brod	na	kojem	0.750000
brod	u	službi	0.500000
cijelo	to	vrijeme	0.750000
cijelom	svijetu	i	0.214286
cilj	bio	je	0.444444
cilj	igre	je	0.750000
cilj	je	bio	0.600000
cilj	joj	je	1.000000
cilj	mu	je	1.000000
cm	i	kg	0.166667
cm	i	teška	0.166667
crne	gore	i	0.166667
d	o	o	0.941176
da	bi	se	0.382189
da	bi	ga	0.024119
da	bi	u	0.024119
da	bi	na	0.016698
da	bi	mogao	0.014842
da	bi	mogla	0.014842
da	bi	bio	0.012987
da	bi	to	0.012987
da	bi	nakon	0.012987
da	bi	mu	0.011132
da	bi	mogli	0.009276
da	bi	je	0.009276
da	bi	bila	0.009276
da	bi	im	0.009276
da	bi	kasnije	0.009276
da	bi	s	0.009276
da	bi	ih	0.007421
da	bi	bili	0.007421
da	bi	za	0.007421
da	bi	potom	0.007421
da	bi	postala	0.005566
da	bi	do	0.005566
da	bi	tek	0.005566
da	bi	bilo	0.005566
da	bi	onda	0.005566
da	bi	postao	0.005566
da	dođe	u	0.357143
da	dođe	do	0.285714
da	ga	je	0.262821
da	ga	se	0.108974
da	ga	ubiju	0.051282
da	ga	ne	0.025641
da	ga	voli	0.025641
da	ga	ona	0.019231
da	ga	oslobodi	0.019231
da	ga	nije	0.019231
da	ga	može	0.019231
da	ga	nitko	0.019231
da	i	oni	0.090909
da	i	danas	0.090909
da	iako	je	0.600000
da	ih	je	0.253521
da	ih	se	0.140845
da	ih	ima	0.042254
da	im	je	0.283019
da	im	se	0.264151
da	ima	godina	0.111111
da	izađe	iz	0.571429
da	je	u	0.053371
da	je	to	0.051124
da	je	on	0.028652
da	je	bio	0.023596
da	je	na	0.019663
da	je	ona	0.016292
da	je	i	0.012360
da	je	riječ	0.011798
da	je	bilo	0.010674
da	je	njegova	0.010674
da	je	ta	0.009551
da	je	za	0.009551
da	je	jedan	0.009551
da	je	ovo	0.008989
da	je	bila	0.008427
da	je	njegov	0.008427
da	je	sve	0.007865
da	je	od	0.007865
da	je	taj	0.007865
da	je	već	0.006742
da	je	imao	0.006742
da	je	nakon	0.006180
da	je	došlo	0.005618
da	je	ovaj	0.005618
da	je	ova	0.005618
da	je	grad	0.005056
da	je	većina	0.005056
da	je	upravo	0.005056
da	je	samo	0.005056
da	je	oko	0.005056
da	joj	je	0.409091
da	joj	se	0.136364
da	joj	pomogne	0.068182
da	ju	je	0.531250
da	kad	je	0.625000
da	kada	se	0.375000
da	krene	dalje	0.428571
da	li	je	0.288889
da	li	se	0.133333
da	li	bi	0.111111
da	li	su	0.088889
da	li	će	0.066667
da	mi	je	0.500000
da	mora	biti	0.250000
da	mu	se	0.291971
da	mu	je	0.291971
da	mu	kaže	0.029197
da	mu	pomognu	0.021898
da	mu	ne	0.021898
da	nastavi	s	0.600000
da	ne	mogu	0.111111
da	ne	bi	0.101852
da	ne	postoji	0.092593
da	ne	može	0.092593
da	ne	želi	0.055556
da	ne	bude	0.046296
da	ne	postoje	0.037037
da	ne	žele	0.037037
da	ne	zna	0.037037
da	ne	će	0.027778
da	nema	dovoljno	0.200000
da	neće	biti	0.250000
da	nije	bilo	0.104478
da	nije	bio	0.104478
da	nije	kriv	0.044776
da	nije	mogao	0.044776
da	nije	ni	0.044776
da	nikad	nije	0.428571
da	nitko	nije	0.357143
da	nitko	ne	0.214286
da	nitko	od	0.214286
da	ona	i	0.176471
da	ostane	u	0.500000
da	postane	prvi	0.333333
da	postoje	dvije	0.333333
da	postoje	i	0.250000
da	pri	tome	0.750000
da	rade	na	0.500000
da	radi	u	0.333333
da	radi	na	0.333333
da	se	u	0.067372
da	se	ne	0.040423
da	se	na	0.038499
da	se	radi	0.036574
da	se	vrati	0.018287
da	se	to	0.015399
da	se	pridruži	0.013474
da	se	može	0.013474
da	se	vrate	0.008662
da	se	za	0.008662
da	se	i	0.007700
da	se	pri	0.006737
da	se	od	0.006737
da	se	nije	0.006737
da	se	ona	0.006737
da	se	koristi	0.006737
da	se	više	0.006737
da	se	mora	0.005775
da	se	nalazi	0.005775
da	se	bavi	0.005775
da	se	neki	0.005775
da	se	bore	0.005775
da	se	pojavi	0.004812
da	se	nakon	0.004812
da	se	prije	0.004812
da	se	taj	0.004812
da	se	što	0.004812
da	se	on	0.004812
da	se	svi	0.004812
da	se	zove	0.004812
da	su	se	0.078014
da	su	u	0.042553
da	su	bili	0.039007
da	su	oni	0.026596
da	su	sve	0.024823
da	su	ga	0.024823
da	su	mu	0.024823
da	su	svi	0.021277
da	su	to	0.021277
da	su	mnogi	0.019504
da	su	neki	0.015957
da	su	imali	0.015957
da	su	ti	0.014184
da	su	i	0.012411
da	su	na	0.012411
da	su	im	0.010638
da	su	upravo	0.010638
da	su	njegove	0.008865
da	su	te	0.008865
da	su	sva	0.007092
da	su	njegovi	0.007092
da	su	ih	0.007092
da	su	do	0.007092
da	su	židovi	0.007092
da	su	članovi	0.007092
da	su	ovi	0.007092
da	su	bile	0.007092
da	su	njihove	0.005319
da	su	zaista	0.005319
da	su	žrtve	0.005319
da	to	nije	0.184211
da	to	ne	0.131579
da	to	može	0.105263
da	to	neće	0.078947
da	u	slučaju	0.086957
da	u	to	0.043478
da	u	nekim	0.043478
da	u	gradu	0.043478
da	uopće	nije	0.600000
da	uđe	u	0.833333
da	više	neće	0.315789
da	više	ne	0.210526
da	više	nije	0.157895
da	vjeruje	kako	0.600000
da	zbog	toga	0.571429
da	će	se	0.224138
da	će	biti	0.036638
da	će	ga	0.036638
da	će	mu	0.034483
da	će	ih	0.032328
da	će	to	0.019397
da	će	u	0.015086
da	će	postati	0.015086
da	će	ju	0.012931
da	će	je	0.012931
da	će	im	0.012931
da	će	doći	0.010776
da	će	novi	0.010776
da	će	za	0.010776
da	će	sve	0.010776
da	će	ona	0.010776
da	će	album	0.008621
da	će	na	0.006466
da	će	film	0.006466
da	će	ako	0.006466
da	će	sljedeće	0.006466
da	će	on	0.006466
da	će	ostati	0.006466
da	čak	i	0.875000
da	živi	u	0.666667
dao	je	u	0.078947
diljem	svijeta	i	0.185185
diljem	svijeta	s	0.111111
djecu	i	mlade	0.357143
do	bila	je	1.000000
do	bio	je	0.857143
do	broja	na	0.272727
do	broja	u	0.272727
do	cm	a	0.206897
do	cm	visine	0.103448
do	cm	te	0.103448
do	cm	i	0.103448
do	dan	danas	1.000000
do	danas	je	0.198529
do	danas	nije	0.088235
do	danas	su	0.044118
do	danas	se	0.036765
do	danas	nisu	0.036765
do	danas	a	0.036765
do	danas	i	0.022059
do	danas	ostao	0.022059
do	danas	još	0.022059
do	danas	ne	0.022059
do	danas	na	0.022059
do	danas	ali	0.022059
do	danas	kao	0.022059
do	danas	nitko	0.022059
do	danas	kroz	0.022059
do	dvije	godine	0.800000
do	godina	i	0.096774
do	godine	u	0.092784
do	godine	kada	0.082474
do	godine	bio	0.061856
do	godine	bila	0.051546
do	godine	je	0.051546
do	godine	se	0.051546
do	godine	na	0.030928
do	godine	i	0.030928
do	i	od	0.250000
do	i	to	0.150000
do	ideje	o	1.000000
do	ih	godina	0.500000
do	je	godine	0.214286
do	je	bio	0.214286
do	još	jednog	1.000000
do	kad	je	0.666667
do	kad	se	0.333333
do	kada	je	0.516129
do	kada	su	0.161290
do	kg	a	0.600000
do	km	h	0.600000
do	kojih	se	0.333333
do	kraja	godine	0.236842
do	kraja	rata	0.163158
