ამას	ხელი	არ	1.000000
არა	მარტო	იმ	0.400000
არა	მხოლოდ	როგორც	0.150000
არა	მხოლოდ	იმიტომ	0.150000
არც	ერთი	არ	0.363636
არც	ერთი	სხვა	0.272727
არც	თუ	ისე	1.000000
არც	ისე	დიდი	0.666667
აქ	ჯერ	კიდევ	1.000000
აქვს	ერთ	ერთი	1.000000
დარწმუნებული	იყო	რომ	0.888889
დიდი	და	პატარა	0.428571
დიდი	იყო	თუმცა	0.230769
ერთად	სადაც	იგი	1.000000
ერთი	ან	ორი	0.388889
ერთი	ან	რამდენიმე	0.388889
ერთი	ან	მეტი	0.222222
ერთი	ყველაზე	დიდი	0.538462
ერთი	ყველაზე	უფრო	0.307692
ერთი	წლის	შემდეგ	0.909091
ეს	არ	არის	0.529412
ეს	არ	იყო	0.294118
ეს	არის	ყველაზე	0.171429
ეს	არის	ის	0.142857
ეს	არის	ერთ	0.114286
ეს	არის	მისი	0.085714
ეს	არის	პირველი	0.085714
ეს	არც	ისე	0.600000
ეს	ასე	არ	0.750000
ეს	ერთ	ერთი	1.000000
ეს	იმას	არ	1.000000
ეს	იმიტომ	რომ	0.714286
ეს	იყო	პირველი	0.471429
ეს	იყო	მისი	0.114286
ეს	იყო	ყველაზე	0.057143
ეს	იყო	ერთ	0.042857
ეს	იყო	დიდი	0.042857
ეს	იყო	მეორე	0.042857
ეს	ყველაფერი	კი	0.363636
ეს	ყოველთვის	ასე	1.000000
ეს	შეიძლება	იყოს	1.000000
ვაჟი	და	ერთი	0.444444
ვაჟი	იყო	და	0.500000
ზუსტად	არ	არის	1.000000
თქვა	რომ	მისი	0.250000
კაცი	და	ქალი	0.750000
კაცი	იყო	და	0.428571
მან	თავისი	პირველი	0.428571
მან	თქვა	რომ	0.666667
მან	საკუთარი	თავი	0.750000
მე	და	მე	0.958333
მე	მე	და	0.666667
მე	მე	მე	0.266667
მისი	და	მისი	0.642857
მისი	ერთ	ერთი	0.972973
მისი	მამა	იყო	0.714286
მისი	მერი	არის	1.000000
მისი	ნამდვილი	სახელი	1.000000
მისი	ყველაზე	დიდი	1.000000
მხოლოდ	ამის	შემდეგ	0.888889
მხოლოდ	და	მხოლოდ	0.944444
მხოლოდ	ერთი	იყო	0.230769
მხოლოდ	იმიტომ	რომ	0.857143
მხოლოდ	მას	შემდეგ	1.000000
მხოლოდ	მაშინ	როცა	0.400000
მხოლოდ	წლის	იყო	0.727273
პირველი	და	მეორე	0.714286
პირველი	იყო	ვინც	0.750000
პირველი	ქალი	იყო	0.375000
რამდენიმე	წლის	შემდეგ	0.812500
რამდენიმე	წლის	წინ	0.093750
რამდენიმე	წლის	მანძილზე	0.093750
რაც	არ	უნდა	0.545455
რაც	ერთ	ერთი	1.000000
რაც	იმ	დროს	1.000000
რაც	შეიძლება	მეტი	0.500000
რაც	შეიძლება	მალე	0.300000
როგორც	ერთ	ერთი	0.800000
როგორც	ერთ	ერთ	0.200000
როგორც	ყველა	სხვა	1.000000
როგორც	ჩანს	ეს	0.121212
როგორც	ჩანს	ამ	0.121212
როგორც	ჩანს	უფრო	0.090909
რომ	ამ	დროს	0.500000
რომ	არ	არსებობს	0.416667
რომ	ერთ	დღეს	0.363636
რომ	ერთ	ერთ	0.363636
რომ	ეს	იყო	0.254237
რომ	ეს	არის	0.186441
რომ	ეს	ყველაფერი	0.084746
რომ	ეს	არ	0.050847
რომ	იგი	არ	0.234043
რომ	იგი	არის	0.085106
რომ	იგი	იყო	0.063830
რომ	იმ	დროს	0.777778
რომ	ის	იყო	0.115385
რომ	ის	შეიძლება	0.076923
რომ	ის	მისი	0.076923
რომ	ის	და	0.076923
რომ	ის	არის	0.057692
რომ	ისინი	არ	0.259259
რომ	ისინი	იყვნენ	0.148148
რომ	ისინი	უკვე	0.111111
რომ	მათ	არ	0.272727
რომ	მას	არ	0.233333
რომ	მას	ძალიან	0.100000
რომ	მას	მხოლოდ	0.100000
რომ	მზად	იყო	1.000000
სანამ	ის	არ	1.000000
უფრო	და	უფრო	1.000000
უფრო	მეტი	ვიდრე	0.272727
ქალი	იყო	რომელიც	0.333333
ქალი	სულ	კაცი	1.000000
ყოველთვის	არ	არის	1.000000
შეიძლება	იყოს	როგორც	0.173913
შეიძლება	იყოს	უფრო	0.130435
შეიძლება	იყოს	ძალიან	0.130435
შვილი	იყო	და	0.500000
ცოტა	რამ	არის	0.666667
ძალიან	ბედნიერი	იყო	1.000000
