актьор	и	продуцент	0.750000
акциите	на	компанията	0.250000
ал	т	от	0.750000
ама	друг	път	1.000000
ама	не	е	0.176471
ама	няма	да	0.428571
ама	ти	си	0.600000
ама	това	е	0.375000
американски	президент	доналд	1.000000
април	г	в	0.108108
април	г	е	0.081081
април	г	когато	0.081081
април	до	май	0.285714
април	и	май	0.307692
април	миналата	година	1.000000
април	около	ч	1.000000
април	от	часа	0.444444
април	т	г	1.000000
април	тази	година	1.000000
бе	да	се	0.500000
бе	дело	на	1.000000
бе	директор	на	0.750000
бе	един	от	1.000000
бе	една	от	0.750000
бе	задържан	в	0.300000
бе	избран	за	0.636364
бе	направено	от	0.375000
бе	определен	за	0.428571
бе	открита	от	0.500000
бе	през	г	0.571429
бе	точен	за	1.000000
бе	част	от	0.666667
бебета	и	деца	1.000000
без	възможност	да	1.000000
без	граници	и	0.375000
без	да	се	0.333333
без	да	има	0.085470
без	да	е	0.068376
без	да	са	0.042735
без	да	си	0.025641
без	да	бъде	0.025641
без	да	имат	0.021368
без	да	бъдат	0.021368
без	да	му	0.012821
без	да	сме	0.012821
без	да	съм	0.012821
без	да	даде	0.012821
без	дори	да	1.000000
без	значение	дали	0.185185
без	значение	от	0.111111
без	значение	на	0.111111
без	каквато	и	1.000000
без	какъвто	и	1.000000
без	много	шум	0.750000
без	непременно	да	1.000000
без	нито	един	0.428571
без	нито	една	0.428571
без	нужда	от	0.750000
без	обаче	да	0.750000
без	опасност	за	1.000000
без	пари	и	0.375000
без	помощта	на	1.000000
без	разрешение	за	0.375000
без	руски	газ	1.000000
без	съмнение	ще	0.666667
без	това	да	0.342857
без	това	не	0.200000
без	това	няма	0.085714
без	това	са	0.085714
без	той	да	1.000000
без	ток	и	0.333333
без	участието	на	0.600000
без	цени	за	1.000000
безопасност	и	защита	0.545455
безопасност	на	движението	0.733333
безопасност	по	пътищата	1.000000
би	би	си	1.000000
би	било	да	0.094118
би	било	ако	0.058824
би	било	по	0.047059
би	било	добре	0.047059
би	било	най	0.047059
би	било	една	0.035294
би	било	добро	0.035294
би	било	много	0.035294
би	да	е	0.333333
би	дори	и	0.600000
би	е	по	0.130435
би	могла	да	0.961538
би	могло	да	0.933333
би	могъл	да	0.952381
би	не	е	0.312500
би	се	случило	0.466667
би	си	че	0.555556
би	станало	ако	0.833333
би	ти	ви	1.000000
би	това	е	0.500000
би	трябва	да	1.000000
би	трябвало	да	0.918182
би	ще	се	0.294118
бизнес	може	да	1.000000
бизнес	у	нас	1.000000
бил	в	съзнание	0.142857
бил	да	се	1.000000
бил	задържан	от	0.333333
бил	нападнат	от	1.000000
бил	открит	и	0.333333
бил	принуден	да	1.000000
бил	съгласен	с	0.750000
бил	съм	в	0.500000
бил	част	от	1.000000
бих	желал	да	1.000000
бих	искал	да	0.777778
бих	искала	да	1.000000
бих	казал	че	0.550000
бих	казала	че	1.000000
благодари	на	всички	0.294118
благодари	на	министър	0.176471
